-BEGIN HEADER-
Dataset: NASA_Baron_Hourly.csv
Stacking Metrics: MAE=0.182 RMSE=0.241 MAPE=6.98% R2=0.97
Forecast Summary:
Prediksi kecepatan angin untuk periode 01-01-2023 hingga 08-01-2023 menunjukkan rata-rata 3.22 m/s, termasuk kategori angin sepoi ringan. Kecepatan tertinggi mencapai 5.07 m/s dan terendah 2.38 m/s, dengan standar deviasi 0.62 m/s. Angin cenderung paling kuat sekitar pukul 11:00 dan paling lemah sekitar pukul 02:00. Secara umum tren angin menurun menuju akhir periode. 

Model terbaik adalah XGB-LSTM Stacking dengan MAPE 6.98% dan RMSE 0.241. Tingkat akurasi model tergolong tinggi.

-END HEADER-

YEAR;MO;DY;HR;WS10M;XGB_Base;XGB_LSTM_Stacked
2013;1;2;7;1,14;1,037;
2013;1;2;8;1,24;1,302;
2013;1;2;9;1,24;1,3;
2013;1;2;10;1,24;1,303;
2013;1;2;11;1,33;1,326;
2013;1;2;12;1,39;1,409;
2013;1;2;13;1,55;1,545;
2013;1;2;14;1,97;1,921;
2013;1;2;15;2,37;2,338;
2013;1;2;16;2,59;2,546;
2013;1;2;17;2,71;2,607;
2013;1;2;18;2,64;2,643;
2013;1;2;19;2,78;2,73;
2013;1;2;20;2,91;2,858;
2013;1;2;21;3,08;3,02;
2013;1;2;22;3,29;3,224;
2013;1;2;23;3,36;3,349;
2013;1;3;0;3,34;3,337;
2013;1;3;1;3,15;3,209;
2013;1;3;2;2,86;2,951;
2013;1;3;3;2,58;2,615;
2013;1;3;4;2,36;2,383;
2013;1;3;5;2,2;2,205;
2013;1;3;6;2,56;2,454;
2013;1;3;7;2,56;2,669;
2013;1;3;8;2,53;2,534;
2013;1;3;9;2,76;2,68;
2013;1;3;10;2,85;2,885;
2013;1;3;11;2,71;2,804;
2013;1;3;12;2,66;2,679;
2013;1;3;13;2,68;2,676;
2013;1;3;14;2,67;2,687;
2013;1;3;15;2,52;2,564;
2013;1;3;16;2,33;2,366;
2013;1;3;17;1,95;2,011;
2013;1;3;18;1,59;1,662;
2013;1;3;19;1,53;1,485;
2013;1;3;20;1,52;1,487;
2013;1;3;21;1,57;1,52;
2013;1;3;22;1,66;1,667;
2013;1;3;23;1,74;1,749;
2013;1;4;0;1,69;1,735;
2013;1;4;1;1,46;1,541;
2013;1;4;2;1,24;1,279;
2013;1;4;3;1,2;1,127;
2013;1;4;4;1,15;1,155;
2013;1;4;5;1,08;1,107;
2013;1;4;6;1,31;1,257;
2013;1;4;7;1,37;1,415;1,695
2013;1;4;8;1,36;1,326;1,588
2013;1;4;9;1,38;1,311;1,474
2013;1;4;10;1,33;1,305;1,514
2013;1;4;11;1,22;1,233;1,465
2013;1;4;12;0,86;0,979;1,339
2013;1;4;13;0,71;0,797;1,111
2013;1;4;14;1,44;1,304;1,073
2013;1;4;15;2,38;2,253;1,745
2013;1;4;16;3,4;3,138;3,235
2013;1;4;17;4,19;3,95;4,014
2013;1;4;18;4,54;4,566;4,415
2013;1;4;19;4,48;4,553;4,476
2013;1;4;20;4,17;4,203;4,172
2013;1;4;21;3,96;3,935;3,665
2013;1;4;22;3,99;3,882;3,608
2013;1;4;23;3,76;3,796;3,854
2013;1;5;0;3,54;3,575;3,678
2013;1;5;1;3,55;3,454;3,185
2013;1;5;2;3,3;3,36;3,31
2013;1;5;3;2,66;2,897;3,323
2013;1;5;4;2,33;2,304;2,417
2013;1;5;5;2,36;2,241;2,115
2013;1;5;6;2,73;2,686;2,614
2013;1;5;7;2,53;2,724;3,227
2013;1;5;8;2,04;2,207;2,844
2013;1;5;9;1,34;1,495;1,985
2013;1;5;10;0,61;0,751;1,393
2013;1;5;11;0,47;0,428;0,715
2013;1;5;12;0,68;0,548;0,662
2013;1;5;13;0,68;0,668;0,907
2013;1;5;14;1,07;0,859;1,513
2013;1;5;15;1,73;1,479;1,257
2013;1;5;16;2,15;2,165;2,173
2013;1;5;17;2,34;2,342;2,573
2013;1;5;18;2,73;2,67;2,376
2013;1;5;19;3,28;3,148;2,693
2013;1;5;20;3,55;3,487;3,471
2013;1;5;21;3,44;3,479;3,715
2013;1;5;22;3,04;3,186;3,381
2013;1;5;23;2,61;2,712;2,818
2013;1;6;0;2,45;2,388;2,306
2013;1;6;1;2,43;2,369;2,355
2013;1;6;2;2,38;2,398;2,368
2013;1;6;3;2,49;2,439;2,74
2013;1;6;4;2,92;2,762;2,387
2013;1;6;5;3,16;3,142;3,495
2013;1;6;6;3,84;3,777;3,628
2013;1;6;7;4,53;4,426;4,151
2013;1;6;8;5,08;4,997;4,651
2013;1;6;9;5,54;5,455;5,311
2013;1;6;10;5,52;5,569;5,44
2013;1;6;11;5,33;5,466;5,389
2013;1;6;12;5,14;5,192;4,954
2013;1;6;13;5,17;5,015;4,735
2013;1;6;14;5,28;5,101;4,774
2013;1;6;15;5,06;5,089;5,18
2013;1;6;16;4,6;4,6;4,641
2013;1;6;17;4,02;3,925;3,957
2013;1;6;18;3,68;3,698;3,51
2013;1;6;19;3,7;3,628;3,489
2013;1;6;20;3,82;3,752;3,608
2013;1;6;21;4,15;4,011;3,76
2013;1;6;22;4,81;4,635;4,136
2013;1;6;23;5,87;5,518;4,928
2013;1;7;0;6,87;6,606;6,103
2013;1;7;1;7,59;7,376;7,112
2013;1;7;2;7,69;7,742;7,083
2013;1;7;3;7,27;7,481;7,024
2013;1;7;4;6,82;6,767;6,429
2013;1;7;5;6,42;6,457;6,182
2013;1;7;6;6,47;6,418;5,884
2013;1;7;7;7,21;6,889;6,421
2013;1;7;8;7,66;7,538;7,065
2013;1;7;9;7,69;7,844;7,675
2013;1;7;10;7,56;7,653;7,063
2013;1;7;11;7,31;7,609;6,913
2013;1;7;12;7,15;7,254;6,709
2013;1;7;13;7,16;7,039;6,469
2013;1;7;14;7,03;7,009;6,751
2013;1;7;15;6,64;6,632;6,431
2013;1;7;16;6,19;6,216;5,919
2013;1;7;17;5,87;5,687;5,592
2013;1;7;18;5,84;5,65;5,424
2013;1;7;19;5,92;5,726;5,681
2013;1;7;20;5,93;5,824;5,807
2013;1;7;21;5,87;5,935;5,667
2013;1;7;22;5,72;5,694;5,669
2013;1;7;23;5,71;5,701;5,45
2013;1;8;0;5,43;5,541;5,435
2013;1;8;1;5,01;5,187;5,077
2013;1;8;2;4,67;4,746;4,427
2013;1;8;3;4,3;4,358;4,24
2013;1;8;4;4,08;4,09;4,159
2013;1;8;5;4,2;4,122;4,127
2013;1;8;6;4,86;4,913;4,406
2013;1;8;7;5,55;5,624;5,398
2013;1;8;8;6,18;6,149;6,03
2013;1;8;9;6,48;6,546;6,128
2013;1;8;10;6,44;6,55;6,447
2013;1;8;11;6,4;6,436;6,121
2013;1;8;12;6,46;6,403;6,007
2013;1;8;13;6,53;6,424;6,146
2013;1;8;14;6,51;6,384;6,127
2013;1;8;15;6,27;6,371;5,994
2013;1;8;16;5,88;5,912;5,715
2013;1;8;17;5,39;5,24;5,325
2013;1;8;18;5,33;5,266;4,9
2013;1;8;19;5,44;5,282;4,979
2013;1;8;20;5,29;5,317;5,291
2013;1;8;21;5,07;5,159;4,987
2013;1;8;22;4,73;4,768;4,705
2013;1;8;23;4,51;4,497;4,457
2013;1;9;0;4,41;4,344;4,274
2013;1;9;1;4,44;4,363;4,135
2013;1;9;2;4,23;4,296;4,271
2013;1;9;3;3,95;4,011;4,105
2013;1;9;4;4,16;3,994;3,782
2013;1;9;5;4,84;4,678;4,336
2013;1;9;6;5,71;5,673;5,37
2013;1;9;7;6,63;6,581;6,278
2013;1;9;8;7,42;7,237;6,741
2013;1;9;9;7,9;7,914;7,516
2013;1;9;10;8,1;8,131;7,539
2013;1;9;11;8,2;8,236;7,588
2013;1;9;12;8,35;8,222;7,573
2013;1;9;13;8,63;8,203;7,626
2013;1;9;14;8,83;8,102;7,887
2013;1;9;15;8,82;7,912;8,009
2013;1;9;16;8,3;7,795;7,771
2013;1;9;17;7,58;7,599;7,203
2013;1;9;18;7,46;7,578;6,4
2013;1;9;19;7,51;7,642;6,815
2013;1;9;20;7,48;7,663;6,953
2013;1;9;21;8,08;8,008;6,78
2013;1;9;22;8,63;8,337;7,625
2013;1;9;23;8,74;8,418;8,229
2013;1;10;0;8,41;8,148;7,953
2013;1;10;1;7,89;7,9;7,571
2013;1;10;2;7,45;7,698;6,742
2013;1;10;3;7,31;7,657;6,672
2013;1;10;4;7,14;6,96;6,884
2013;1;10;5;7,2;7,044;7,065
2013;1;10;6;7,55;7,44;7,0
2013;1;10;7;8,48;8,448;7,619
2013;1;10;8;9,08;8,687;8,41
2013;1;10;9;9,27;8,774;8,976
2013;1;10;10;9,15;8,654;8,592
2013;1;10;11;8,89;8,561;8,543
2013;1;10;12;8,72;8,54;8,084
2013;1;10;13;8,62;8,159;7,952
2013;1;10;14;8,41;7,982;7,835
2013;1;10;15;7,95;7,831;7,54
2013;1;10;16;7,29;7,646;7,01
2013;1;10;17;6,67;6,689;6,287
2013;1;10;18;6,56;6,656;5,965
2013;1;10;19;6,83;6,7;6,219
2013;1;10;20;7,34;7,204;6,561
2013;1;10;21;8,17;8,123;7,128
2013;1;10;22;8,74;8,574;8,081
2013;1;10;23;8,58;8,596;8,163
2013;1;11;0;8,41;8,45;7,769
2013;1;11;1;8,32;8,302;7,453
2013;1;11;2;8,18;8,221;7,397
2013;1;11;3;7,94;7,783;7,515
2013;1;11;4;7,49;7,624;7,349
2013;1;11;5;6,8;7,468;6,97
2013;1;11;6;6,61;6,815;6,473
2013;1;11;7;7,29;7,127;6,379
2013;1;11;8;8,51;8,162;7,545
2013;1;11;9;9,03;8,726;8,492
2013;1;11;10;9,16;8,791;8,997
2013;1;11;11;9,12;8,728;8,426
2013;1;11;12;8,94;8,696;8,527
2013;1;11;13;8,6;8,471;8,113
2013;1;11;14;8,17;8,194;7,749
2013;1;11;15;7,49;7,955;7,22
2013;1;11;16;6,51;7,69;6,569
