-BEGIN HEADER-
Dataset: NASA_Sukabumi_Hourly.csv
Stacking Metrics: MAE=3.719 RMSE=4.405 MAPE=154.4% R2=-3.279
Forecast Summary:
Prediksi kecepatan angin untuk periode 01-01-2023 hingga 08-01-2023 menunjukkan rata-rata 10.31 m/s, termasuk kategori angin kencang. Kecepatan tertinggi mencapai 10.35 m/s dan terendah 10.23 m/s, dengan standar deviasi 0.03 m/s. Angin cenderung paling kuat sekitar pukul 00:00 dan paling lemah sekitar pukul 23:00. Secara umum tren angin relatif stabil sepanjang periode. 

Model terbaik adalah XGB-LSTM Stacking dengan MAPE 154.40% dan RMSE 4.405. Tingkat akurasi model tergolong rendah.

-END HEADER-

YEAR;MO;DY;HR;WS10M;XGB_Base;XGB_LSTM_Stacked
2013;1;2;0;7,04;7,041;
2013;1;2;1;6,97;6,938;
2013;1;2;2;6,78;6,814;
2013;1;2;3;6,56;6,612;
2013;1;2;4;6,19;6,245;
2013;1;2;5;5,9;5,906;
2013;1;2;6;5,73;5,705;
2013;1;2;7;5,64;5,592;
2013;1;2;8;5,47;5,454;
2013;1;2;9;5,17;5,223;
2013;1;2;10;5,03;5,022;
2013;1;2;11;5,28;5,136;
2013;1;2;12;5,7;5,536;
2013;1;2;13;6,12;6,065;
2013;1;2;14;6,44;6,461;
2013;1;2;15;6,61;6,645;
2013;1;2;16;6,71;6,757;
2013;1;2;17;6,68;6,711;
2013;1;2;18;6,6;6,62;
2013;1;2;19;6,6;6,573;
2013;1;2;20;6,67;6,619;
2013;1;2;21;6,77;6,745;
2013;1;2;22;6,79;6,824;
2013;1;2;23;6,72;6,762;
2013;1;3;0;6,68;6,637;
2013;1;3;1;6,61;6,582;
2013;1;3;2;6,43;6,469;
2013;1;3;3;6,2;6,247;
2013;1;3;4;6,02;5,976;
2013;1;3;5;5,91;5,881;
2013;1;3;6;5,89;5,814;
2013;1;3;7;5,99;5,93;
2013;1;3;8;6,17;6,074;
2013;1;3;9;6,33;6,294;
2013;1;3;10;6,11;6,242;
2013;1;3;11;5,63;5,821;
2013;1;3;12;5,28;5,313;
2013;1;3;13;5,0;5,011;
2013;1;3;14;4,83;4,835;
2013;1;3;15;4,72;4,713;
2013;1;3;16;4,91;4,767;
2013;1;3;17;5,3;5,163;
2013;1;3;18;5,73;5,622;
2013;1;3;19;6,11;6,06;
2013;1;3;20;6,47;6,439;
2013;1;3;21;6,78;6,761;
2013;1;3;22;6,93;6,959;
2013;1;3;23;7,01;7,057;
2013;1;4;0;7,02;7,044;10,188
2013;1;4;1;7,0;7,031;10,257
2013;1;4;2;7,02;6,994;10,253
2013;1;4;3;7,0;6,989;10,25
2013;1;4;4;6,82;6,894;10,248
2013;1;4;5;6,51;6,594;10,242
2013;1;4;6;6,19;6,226;10,229
2013;1;4;7;5,91;5,935;10,212
2013;1;4;8;5,77;5,788;10,194
2013;1;4;9;5,83;5,771;10,178
2013;1;4;10;6,0;5,957;10,167
2013;1;4;11;6,33;6,279;10,164
2013;1;4;12;6,79;6,72;10,163
2013;1;4;13;7,12;7,108;10,168
2013;1;4;14;7,3;7,388;10,181
2013;1;4;15;7,27;7,385;10,191
2013;1;4;16;7,51;7,428;10,192
2013;1;4;17;7,96;7,78;10,195
2013;1;4;18;8,5;8,347;10,206
2013;1;4;19;9,39;9,203;10,224
2013;1;4;20;10,37;9,912;10,246
2013;1;4;21;10,88;11,186;10,269
2013;1;4;22;10,98;10,977;10,287
2013;1;4;23;10,63;10,848;10,295
2013;1;5;0;10,16;10,524;10,297
2013;1;5;1;9,62;10,832;10,352
2013;1;5;2;8,97;9,454;10,333
2013;1;5;3;8,45;8,451;10,317
2013;1;5;4;8,23;8,076;10,305
2013;1;5;5;8,37;8,157;10,287
2013;1;5;6;8,72;8,381;10,274
2013;1;5;7;9,26;9,082;10,271
2013;1;5;8;9,82;9,803;10,277
2013;1;5;9;10,24;10,063;10,288
2013;1;5;10;10,34;10,752;10,301
2013;1;5;11;10,0;10,684;10,311
2013;1;5;12;9,37;9,746;10,31
2013;1;5;13;8,71;9,185;10,3
2013;1;5;14;8,11;8,277;10,276
2013;1;5;15;7,56;7,788;10,247
2013;1;5;16;7,11;7,281;10,229
2013;1;5;17;6,83;6,905;10,221
2013;1;5;18;6,71;6,752;10,216
2013;1;5;19;6,73;6,676;10,212
2013;1;5;20;6,91;6,797;10,216
2013;1;5;21;7,3;7,186;10,223
2013;1;5;22;7,6;7,569;10,234
2013;1;5;23;7,66;7,776;10,239
2013;1;6;0;7,7;7,746;10,241
2013;1;6;1;7,6;7,621;10,31
2013;1;6;2;7,37;7,412;10,295
2013;1;6;3;7,08;7,173;10,282
2013;1;6;4;6,85;6,868;10,268
2013;1;6;5;6,62;6,675;10,253
2013;1;6;6;6,42;6,447;10,244
2013;1;6;7;6,71;6,513;10,234
2013;1;6;8;7,47;7,117;10,229
2013;1;6;9;8,26;8,124;10,235
2013;1;6;10;8,77;8,754;10,254
2013;1;6;11;9,02;9,071;10,274
2013;1;6;12;9,02;9,035;10,284
2013;1;6;13;8,77;8,808;10,284
2013;1;6;14;8,37;8,392;10,276
2013;1;6;15;7,7;7,876;10,26
2013;1;6;16;6,97;7,203;10,237
2013;1;6;17;6,59;6,537;10,204
2013;1;6;18;6,52;6,446;10,17
2013;1;6;19;6,35;6,364;10,147
2013;1;6;20;6,08;6,162;10,134
2013;1;6;21;6,07;6,017;10,127
2013;1;6;22;6,59;6,332;10,122
2013;1;6;23;7,46;7,187;10,138
2013;1;7;0;8,38;8,221;10,166
2013;1;7;1;8,89;8,93;10,265
2013;1;7;2;9,24;9,228;10,283
2013;1;7;3;9,75;9,682;10,294
2013;1;7;4;9,84;9,947;10,301
2013;1;7;5;9,45;9,754;10,299
